row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,ProcessBlank_1.mzXML Peak area,ProcessBlank_2.mzXML Peak area,Marathon_LyphilizedFilter_2.mzXML Peak area,Marathon_LyphilizedFilter_1.mzXML Peak area,Unnamed: 17
11135,148.03830031085155,5.268067,area,,,,185.0,1097.0,[M+H-H2O]+,,2.0,11135;11157,165.04177,22.862291,0.0,3845.1238,4564.41,
4372,148.05957172187976,2.2308834,area,,,,185.0,513.0,[M+H]+,,3.0,4374;4372;4373,147.05267,0.0,0.0,4394.457,2564.6106,
3494,149.0180752031153,1.5363625,area,,,,185.0,169.0,[M+Na]+,,2.0,3196;3494,126.02859,1144.3915,1594.8037,349606.22,345761.2,
34661,149.0221643667344,23.44685,area,,,,138.0,,,,,,,530.76904,313.08386,1385.5693,3142.1372,
27912,149.02233021551433,17.364817,area,,,,185.0,,,,,,,8340.063,6771.166,45926.12,48672.3,
1881,150.11154221346894,1.4585291,area,,,,185.0,147.0,[M+H]+,,1.0,1882,149.10412,15913.956,12639.133,724.7991,362.26694,
2824,150.97588135538683,1.613925,area,,,,185.0,245.0,[M+K]+,,2.0,2823;2824,112.01278,0.0,0.0,2527.3477,2453.044,
3685,151.02216598386502,1.7344334,area,,,,185.0,380.0,[M+NH4]+,,2.0,3610;3685,132.98895,0.0,0.0,1409.5272,2012.972,
4665,151.09548725094572,2.5698082,area,,,,185.0,563.0,[M+H]+,,2.0,4670;4665,150.08817,22201.207,21652.932,9887.232,17393.453,
4731,152.06873620780644,2.629521,area,,,,185.0,625.0,[M+Na]+,,2.0,4868;4731,129.07909,77.93845,232.99457,1252.9767,1407.6355,
20625,152.0805725901863,10.703858,area,,,,185.0,1615.0,[M+Na]+,,2.0,20633;20625,129.09098,0.0,0.0,1982.8741,1598.7397,
651,152.11708788747652,1.2957375,area,,,,185.0,,,,,,,165.7183,136.63553,2320.1714,6633.75,
3923,152.1171022285214,1.903775,area,,,,185.0,,,,,,,773.54504,1024.0619,73461.11,72023.91,
3982,152.94623063764584,1.92925,area,,,,185.0,,,,,,,2901.7678,2393.8772,561.43726,551.6539,
6312,153.05234048577125,3.015829,area,,,,185.0,719.0,[M+Na]+,,2.0,6312;6347,130.0623,290.90625,60.56357,1961.1187,2575.0298,
4050,153.1002949423135,2.0083919,area,,,,185.0,427.0,[M+Na]+,,3.0,4035;4082;4050,130.11051,0.0,0.0,616.2347,389.7645,
11578,153.56434734695753,5.376075,area,,,,185.0,1127.0,[M+2H]+2,,2.0,11578;11745,305.11351,0.0,0.0,182.16682,255.90044,
3894,154.1330209774312,1.8886083,area,,,,185.0,,,,,,,0.0,0.0,23663.727,30727.553,
26181,154.58808942251468,15.843117,area,,,,185.0,1985.0,[M+H-H2O]+,,2.0,26181;26223,171.59227,0.0,0.0,276.00806,369.2259,
13811,155.04587656244573,6.303046,area,,,,185.0,,,,,,,70.007355,6224.7856,449.44498,377.44458,
20427,155.06895990810227,10.559584,area,,,,185.0,,,,,,,55.56308,26.890383,26257.135,24567.318,
18390,155.06911574650607,8.770405,area,,,,185.0,,,,,,,68.81959,36.39539,33661.95,33837.863,
10950,155.06942494522224,5.0872416,area,,,,185.0,,,,,,,833.7724,757.4081,6305.8647,7679.958,
15271,155.10580123423978,7.048854,area,,,,185.0,1271.0,[M+H-H2O]+,,2.0,15271;15258,172.1091,262.47263,340.52893,4505.894,3349.0532,
18391,155.10591204097116,8.872679,area,,,,185.0,1460.0,[M+H-H2O]+,,3.0,18391;18397;18400,172.10949,281.36646,329.84738,10478.387,11090.7295,
4094,155.11729311379884,1.9789057,area,,,,185.0,442.0,[M+H]+,,3.0,4106;4105;4094,154.10994,0.0,20.011902,5284.4473,5490.2256,
